relation_id,relation_name,mapping_type,test_support,head_support,tail_support,eligible_support,hits_r,alpha_r,delta_r
27,/award/award_ceremony/awards_presented./award/award_honor/award_winner,M-N,317,317,317,348,0.4659756677491324,0.2931034564971924,0.14080459770114942
28,/film/film/country,M-1,131,131,131,151,0.5256270510809762,0.16556291282176971,0.08609271523178808
29,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,M-N,258,258,258,406,0.7170542478561401,0.21674877405166626,0.10098522167487685
30,/award/award_winning_work/awards_won./award/award_honor/award,M-N,118,118,118,117,0.40920097061565947,0.3333333432674408,0.18803418803418803
31,/film/film/genre,M-N,722,722,722,792,0.49129402211734224,0.19065657258033752,0.08585858585858586
32,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,M-N,160,160,160,161,0.4352678528853825,0.26708075404167175,0.11801242236024845
33,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,M-1,46,46,46,61,0.5729813575744629,0.2295081913471222,0.16393442622950818
34,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,M-1,151,151,151,213,0.6087984868458339,0.23004694283008575,0.10328638497652583
35,/government/legislative_session/members./government/government_position_held/district_represented,M-N,117,117,117,232,0.9859584740230015,0.0258620698004961,0.017241379310344827
36,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,M-N,1,1,1,1,0.5,0.0,0.0
37,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,M-N,91,91,91,136,0.6703296729496547,0.16911764442920685,0.08823529411764706
38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,M-N,132,132,132,116,0.35335498622485567,0.38793104887008667,0.25862068965517243
39,/people/deceased_person/place_of_death,M-1,78,78,78,56,0.3012820567403521,0.3392857015132904,0.17857142857142858
40,/sports/pro_athlete/teams./sports/sports_team_roster/team,M-N,16,16,16,20,0.5,0.44999998807907104,0.25
41,/music/artist/track_contributions./music/track_contribution/role,M-N,152,152,152,145,0.38439849444798063,0.35172414779663086,0.18620689655172415
42,/music/instrument/instrumentalists,M-N,153,153,153,157,0.43697479367256165,0.2866241931915283,0.14012738853503184
43,/people/person/gender,M-1,436,436,436,502,0.5375163895743233,0.10756972432136536,0.043824701195219126
44,/business/job_title/people_with_this_title./business/employment_tenure/company,M-N,85,85,85,108,0.5420168127332415,0.25,0.12037037037037036
45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,M-N,32,32,32,20,0.14955357142857142,0.8999999761581421,0.4
46,/business/business_operation/industry,M-1,41,41,41,60,0.5993031433650425,0.30000001192092896,0.16666666666666666
47,/award/award_category/winners./award/award_honor/award_winner,M-N,217,217,217,238,0.4588545092514583,0.32773110270500183,0.15126050420168066
48,/people/person/nationality,M-1,494,494,494,582,0.5352805256843567,0.15807560086250305,0.07216494845360824
49,/sports/sports_team/roster./baseball/baseball_roster_position/position,M-N,3,3,3,6,1.0,0.0,0.0
50,/people/cause_of_death/people,1-N,94,94,94,68,0.2636778099196298,0.5147058963775635,0.25
51,/tv/tv_program/languages,M-1,24,24,24,47,0.961309518132891,0.042553190141916275,0.02127659574468085
52,/music/genre/parent_genre,M-N,97,97,97,125,0.5648011650357928,0.2800000011920929,0.12
53,/base/popstra/celebrity/breakup./base/popstra/breakup/participant,1-1,0,0,0,0,,,
54,/location/country/capital,1-1,11,11,11,9,0.24675325410706656,0.6666666865348816,0.3333333333333333
55,/film/special_film_performance_type/film_performance_type./film/performance/film,1-N,11,11,11,14,0.6103895902633667,0.0714285746216774,0.07142857142857142
56,/location/hud_county_place/place,1-1,48,48,48,91,0.9211309552192688,0.05494505539536476,0.03296703296703297
57,/music/performance_role/guest_performances./music/recording_contribution/performance_role,M-N,2,2,2,4,0.14285714285714285,1.0,1.0
58,/location/location/adjoin_s./location/adjoining_relationship/adjoins,M-N,55,55,55,86,0.7051948053496224,0.23255814611911774,0.12790697674418605
59,/film/film_subject/films,1-N,77,77,77,61,0.32003710099628996,0.3442623019218445,0.13114754098360656
60,/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,M-1,60,60,60,73,0.5452381031853812,0.13698630034923553,0.0821917808219178
61,/education/educational_institution/colors,M-N,90,90,90,91,0.44603174499103,0.24175824224948883,0.16483516483516483
62,/base/aareas/schema/administrative_area/administrative_parent,M-1,25,25,25,42,0.8399999737739563,0.0,0.0
63,/organization/role/leaders./organization/leadership/organization,1-N,70,70,70,82,0.5306122473308018,0.1463414579629898,0.06097560975609756
64,/government/legislative_session/members./government/government_position_held/legislative_sessions,M-N,13,13,13,26,1.0,0.0,0.0
65,/olympics/olympic_games/sports,M-N,13,13,13,26,1.0,0.0,0.0
66,/people/person/places_lived./people/place_lived/location,M-N,305,305,305,171,0.21405152337891714,0.4327485263347626,0.2046783625730994
67,/award/award_category/disciplines_or_subjects,M-N,15,15,15,27,0.8285714217594692,0.14814814925193787,0.1111111111111111
68,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,M-N,86,86,86,75,0.29900331582341877,0.6666666865348816,0.3333333333333333
69,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,M-N,63,63,63,102,0.742630388055529,0.1764705926179886,0.0784313725490196
70,/language/human_language/countries_spoken_in,M-N,25,25,25,34,0.5371428685528892,0.47058823704719543,0.2647058823529412
71,/people/ethnicity/people,1-N,251,251,251,252,0.4493454822472164,0.1984127014875412,0.09523809523809523
72,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,M-N,31,31,31,44,0.5691244346754891,0.3181818127632141,0.18181818181818182
73,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,M-N,38,38,38,70,0.8928571343421936,0.08571428805589676,0.04285714285714286
74,/film/film/other_crew./film/film_crew_gig/crewmember,M-1,26,26,26,24,0.3763736230986459,0.2916666567325592,0.25
75,/music/performance_role/track_performances./music/track_contribution/role,M-N,53,53,53,55,0.40970350589071003,0.4727272689342499,0.23636363636363636
76,/music/record_label/artist,M-N,266,266,266,217,0.3045112746102469,0.47926267981529236,0.2488479262672811
77,/base/popstra/celebrity/dated./base/popstra/dated/participant,M-N,11,11,11,3,0.06493506687028068,1.0,1.0
78,/base/locations/continents/countries_within,1-N,5,5,5,10,0.8714285578046527,0.30000001192092896,0.3
79,/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,M-N,42,42,42,62,0.6394557867731366,0.27419355511665344,0.1935483870967742
80,/sports/sports_team/sport,M-1,53,53,53,96,0.8746630804879325,0.0833333358168602,0.07291666666666667
81,/education/educational_institution_campus/educational_institution,1-1,13,13,13,26,1.0,0.0,0.0
82,/people/person/religion,M-1,127,127,127,129,0.4656917835984911,0.1550387591123581,0.08527131782945736
83,/organization/organization/headquarters./location/mailing_address/citytown,M-1,55,55,55,57,0.38701299258640837,0.4736842215061188,0.2807017543859649
84,/film/film/produced_by,M-1,60,60,60,63,0.4440476213182722,0.2857142984867096,0.15873015873015872
85,/people/person/spouse_s./people/marriage/type_of_union,M-1,346,346,346,360,0.5099091700145176,0.03055555559694767,0.022222222222222223
86,/film/film/production_companies,M-1,84,84,84,105,0.5501700639724731,0.22857142984867096,0.09523809523809523
87,/location/country/second_level_divisions,1-N,46,46,46,53,0.5248447145734515,0.15094339847564697,0.09433962264150944
88,/base/culturalevent/event/entity_involved,M-N,20,20,20,15,0.3499999940395355,0.4000000059604645,0.13333333333333333
89,/education/educational_degree/people_with_this_degree./education/education/institution,M-N,287,287,287,387,0.6306620240211487,0.14470283687114716,0.06976744186046512
90,/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,M-1,38,38,38,56,0.6748120359012059,0.1964285671710968,0.16071428571428573
91,/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type,M-1,11,11,11,17,0.7727272510528564,0.0,0.0
92,/music/performance_role/regular_performances./music/group_membership/group,M-N,167,167,167,251,0.6792129959378924,0.19920319318771362,0.11553784860557768
93,/government/politician/government_positions_held./government/government_position_held/legislative_sessions,M-N,30,30,30,59,0.9666666473661151,0.033898305147886276,0.01694915254237288
94,/sports/sports_team_location/teams,1-1,53,53,53,18,0.052560647683484216,0.9444444179534912,0.4444444444444444
95,/sports/sports_team/colors,M-N,77,77,77,81,0.4777365412030901,0.16049382090568542,0.09876543209876543
96,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft,M-N,43,43,43,86,1.0,0.0,0.0
97,/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,M-N,16,16,16,29,0.8660714285714286,0.13793103396892548,0.13793103448275862
98,/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season,M-N,27,27,27,54,0.9841269935880389,0.018518518656492233,0.018518518518518517
99,/user/alexander/philosophy/philosopher/interests,M-N,9,9,9,12,0.6111111215182713,0.1666666716337204,0.16666666666666666
100,/people/person/languages,M-1,98,98,98,116,0.5568513018744332,0.1034482792019844,0.05172413793103448
101,/education/educational_institution/students_graduates./education/education/major_field_of_study,M-N,321,321,321,338,0.42456608584948946,0.39349111914634705,0.1834319526627219
102,/film/director/film,1-N,19,19,19,15,0.35714285714285715,0.2666666805744171,0.13333333333333333
103,/award/award_ceremony/awards_presented./award/award_honor/honored_for,M-N,121,121,121,122,0.4102715424128941,0.3442623019218445,0.18032786885245902
104,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,M-N,8,8,8,14,0.8035714285714286,0.1428571492433548,0.14285714285714285
105,/film/film/costume_design_by,M-1,13,13,13,15,0.5164835282734462,0.20000000298023224,0.13333333333333333
106,/film/film/featured_film_locations,M-1,100,100,100,76,0.28785714507102966,0.3815789520740509,0.23684210526315788
107,/tv/tv_program/genre,M-N,94,94,94,146,0.6884498425892421,0.2397260218858719,0.1232876712328767
108,/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,M-1,3,3,3,3,0.5,0.0,0.0
109,/film/film/written_by,M-1,26,26,26,13,0.19780220091342926,0.6153846383094788,0.38461538461538464
110,/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,M-1,22,22,22,29,0.5876623221806118,0.17241379618644714,0.10344827586206896
111,/location/hud_county_place/county,M-1,7,7,7,8,0.4183673518044608,0.5,0.25
112,/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,M-N,63,63,63,113,0.850340119429997,0.09734513610601425,0.07079646017699115
113,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category,M-1,20,20,20,28,0.6678571360451835,0.0714285746216774,0.03571428571428571
114,/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members,M-N,3,3,3,6,1.0,0.0,0.0
115,/film/film/film_format,M-1,39,39,39,47,0.5586080636296954,0.1702127605676651,0.10638297872340426
116,/film/film/music,M-1,92,92,92,82,0.3167701874460493,0.4878048896789551,0.23170731707317074
117,/sports/sports_team/roster./american_football/football_roster_position/position,M-N,3,3,3,4,0.6666666865348816,0.0,0.0
118,/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,M-1,50,50,50,60,0.5400000129427228,0.1666666716337204,0.08333333333333333
119,/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,M-N,1,1,1,1,0.5,0.0,0.0
120,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,M-1,84,84,84,113,0.6054421663284302,0.1946902722120285,0.12389380530973451
121,/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club,M-N,29,29,29,29,0.3620689639023372,0.6206896305084229,0.3793103448275862
122,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,M-N,31,31,31,27,0.27880183713776724,0.5555555820465088,0.25925925925925924
123,/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant,M-N,1,1,1,0,0.0,,
124,/education/educational_institution/school_type,M-1,80,80,80,102,0.5767857091767448,0.19607843458652496,0.10784313725490197
125,/sports/sport/pro_athletes./sports/pro_sports_played/athlete,1-N,17,17,17,26,0.7478991576603481,0.03846153989434242,0.038461538461538464
126,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,1-N,27,27,27,31,0.5476190447807312,0.09677419066429138,0.06451612903225806
127,/base/biblioness/bibs_location/state,M-1,7,7,7,12,0.6734693901879447,0.3333333432674408,0.16666666666666666
128,/education/university/local_tuition./measurement_unit/dated_money_value/currency,M-1,1,1,1,1,0.5,0.0,0.0
129,/business/business_operation/revenue./measurement_unit/dated_money_value/currency,M-1,1,1,1,1,0.5,0.0,0.0
130,/sports/sports_position/players./sports/sports_team_roster/team,M-N,22,22,22,31,0.6980519379888263,0.032258063554763794,0.03225806451612903
131,/military/military_conflict/combatants./military/military_combatant_group/combatants,M-N,34,34,34,50,0.6239495703152248,0.3400000035762787,0.22
132,/sports/sports_league/teams./sports/sports_league_participation/team,1-N,16,16,16,29,0.84375,0.17241379618644714,0.10344827586206896
133,/base/biblioness/bibs_location/country,M-1,14,14,14,16,0.5306122388158526,0.125,0.125
134,/music/group_member/membership./music/group_membership/role,M-N,29,29,29,32,0.4827586156981332,0.28125,0.25
135,/location/administrative_division/country,M-1,3,3,3,3,0.5,0.0,0.0
136,/film/film/executive_produced_by,M-1,73,73,73,78,0.455968690770013,0.28205129504203796,0.16666666666666666
137,/food/food/nutrients./food/nutrition_fact/nutrient,M-N,105,105,105,210,0.9993197236742292,0.004761904943734407,0.004761904761904762
138,/music/group_member/membership./music/group_membership/group,M-1,22,22,22,37,0.733766223703112,0.2702702581882477,0.1891891891891892
139,/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,M-1,3,3,3,4,0.6666666865348816,0.0,0.0
140,/education/field_of_study/students_majoring./education/education/student,1-N,34,34,34,35,0.3298319322722299,0.6857143044471741,0.4857142857142857
141,/award/award_winning_work/awards_won./award/award_honor/honored_for,M-N,10,10,10,18,0.8999999761581421,0.0,0.0
142,/sports/sports_team/roster./basketball/basketball_roster_position/position,M-N,2,2,2,2,0.5,0.0,0.0
143,/organization/organization/headquarters./location/mailing_address/state_province_region,M-1,39,39,39,46,0.5073260239192418,0.28260868787765503,0.17391304347826086
144,/base/aareas/schema/administrative_area/capital,1-1,0,0,0,0,,,
145,/tv/tv_producer/programs_produced./tv/tv_producer_term/program,M-N,4,4,4,4,0.4107142857142857,0.5,0.5
146,/education/educational_institution/campuses,1-1,13,13,13,26,1.0,0.0,0.0
147,/film/film/distributors./film/film_film_distributor_relationship/region,M-1,10,10,10,13,0.550000011920929,0.23076923191547394,0.07692307692307693
148,/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month,M-N,60,60,60,120,0.9988095249448504,0.008333333767950535,0.008333333333333333
149,/medicine/disease/notable_people_with_this_condition,1-N,15,15,15,16,0.44285714626312256,0.3125,0.25
150,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,M-N,38,38,38,55,0.6466165355273655,0.2181818187236786,0.10909090909090909
151,/people/ethnicity/geographic_distribution,M-N,17,17,17,26,0.7310924274580819,0.07692307978868484,0.07692307692307693
152,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,M-N,17,17,17,27,0.6512605207306998,0.4444444477558136,0.2222222222222222
153,/film/film/personal_appearances./film/personal_film_appearance/person,1-N,11,11,11,8,0.3246753215789795,0.125,0.125
154,/location/location/time_zones,M-1,137,137,137,200,0.6673618299620492,0.18000000715255737,0.1
155,/film/film/story_by,M-1,31,31,31,32,0.43548386437552317,0.28125,0.1875
156,/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed,M-N,21,21,21,42,1.0,0.0,0.0
157,/olympics/olympic_games/participating_countries,M-N,23,23,23,32,0.6490683470453534,0.1875,0.125
158,/tv/tv_network/programs./tv/tv_network_duration/program,1-N,26,26,26,30,0.5137362650462559,0.30000001192092896,0.16666666666666666
159,/people/person/employment_history./business/employment_tenure/company,M-1,24,24,24,30,0.3958333304950169,0.699999988079071,0.3
160,/music/artist/origin,M-1,34,34,34,21,0.25840336297239574,0.380952388048172,0.23809523809523808
161,/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,1-N,53,53,53,58,0.5336927175521851,0.0517241396009922,0.034482758620689655
162,/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program,M-1,9,9,9,9,0.4047619104385376,0.4444444477558136,0.3333333333333333
163,/time/event/locations,M-N,34,34,34,39,0.3760504254273006,0.6153846383094788,0.41025641025641024
164,/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,1-1,0,0,0,0,,,
165,/government/political_party/politicians_in_this_party./government/political_party_tenure/politician,1-N,11,11,11,13,0.5259740267481122,0.1538461595773697,0.15384615384615385
166,/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,M-1,5,5,5,5,0.5,0.0,0.0
167,/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency,M-1,22,22,22,40,0.9090909361839294,0.0,0.0
168,/user/ktrueman/default_domain/international_organization/member_states,1-N,24,24,24,43,0.7827380980764117,0.23255814611911774,0.13953488372093023
169,/american_football/football_team/current_roster./sports/sports_team_roster/position,M-N,0,0,0,0,,,
170,/soccer/football_player/current_team./sports/sports_team_roster/team,M-N,9,9,9,6,0.26190477183886934,0.6666666865348816,0.3333333333333333
171,/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal,M-N,16,16,16,32,1.0,0.0,0.0
172,/award/ranked_item/appears_in_ranked_lists./award/ranking/list,M-1,48,48,48,74,0.7395833304950169,0.13513512909412384,0.0945945945945946
173,/film/film_set_designer/film_sets_designed,1-N,8,8,8,8,0.4107142857142857,0.625,0.5
174,/user/jg/default_domain/olympic_games/sports,M-N,11,11,11,22,0.9870129823684692,0.04545454680919647,0.045454545454545456
175,/people/person/sibling_s./people/sibling_relationship/sibling,1-1,7,7,7,9,0.4591836759022304,0.5555555820465088,0.4444444444444444
176,/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team,M-N,41,41,41,80,0.9477351818765912,0.07500000298023224,0.05
177,/music/artist/contribution./music/recording_contribution/performance_role,M-N,14,14,14,13,0.32142857568604605,0.5384615659713745,0.3076923076923077
178,/sports/sports_position/players./sports/sports_team_roster/position,M-N,0,0,0,0,,,
179,/government/politician/government_positions_held./government/government_position_held/basic_title,M-N,16,16,16,28,0.7053571428571429,0.3214285671710968,0.17857142857142858
180,/sports/sports_position/players./american_football/football_historical_roster_position/position_s,M-N,0,0,0,0,,,
181,/people/profession/specialization_of,M-1,13,13,13,8,0.25274726109845297,0.375,0.375
182,/award/award_category/category_of,M-1,20,20,20,40,0.9928571496691022,0.02500000037252903,0.025
183,/film/film/cinematography,M-1,17,17,17,20,0.5210084106240954,0.30000001192092896,0.25
184,/film/film/film_production_design_by,M-1,10,10,10,12,0.5571428707667759,0.1666666716337204,0.16666666666666666
185,/tv/tv_program/country_of_origin,M-1,32,32,32,55,0.8035714285714286,0.20000000298023224,0.12727272727272726
186,/film/film/edited_by,M-1,13,13,13,14,0.47802198358944487,0.2142857164144516,0.14285714285714285
187,/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program,M-1,11,11,11,15,0.5259740310055869,0.4000000059604645,0.3333333333333333
188,/education/field_of_study/students_majoring./education/education/major_field_of_study,M-N,11,11,11,17,0.6168831161090306,0.47058823704719543,0.29411764705882354
189,/education/educational_degree/people_with_this_degree./education/education/student,1-N,27,27,27,30,0.5158730149269104,0.1666666716337204,0.1
190,/location/us_county/county_seat,1-1,2,2,2,4,1.0,0.0,0.0
191,/film/film/film_festivals,M-1,18,18,18,20,0.5119047675813947,0.20000000298023224,0.1
192,/people/person/spouse_s./people/marriage/spouse,1-1,4,4,4,2,0.03571428571428571,1.0,0.5
193,/film/film/runtime./film/film_cut/film_release_region,M-1,9,9,9,8,0.3492063581943512,0.5,0.375
194,/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,1-1,0,0,0,0,,,
195,/base/aareas/schema/administrative_area/administrative_area_type,M-1,20,20,20,40,0.9964285748345512,0.02500000037252903,0.025
196,/influence/influence_node/peers./influence/peer_relationship/peers,1-1,2,2,2,1,0.07142857142857142,1.0,1.0
197,/government/governmental_body/members./government/government_position_held/legislative_sessions,M-N,12,12,12,24,1.0,0.0,0.0
198,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language,M-N,21,21,21,36,0.7653061151504517,0.1388888955116272,0.1111111111111111
199,/organization/organization/place_founded,M-1,16,16,16,17,0.375,0.47058823704719543,0.29411764705882354
200,/base/eating/practicer_of_diet/diet,M-1,11,11,11,12,0.5259740352630615,0.0833333358168602,0.08333333333333333
201,/tv/tv_program/program_creator,1-1,2,2,2,0,0.0,,
202,/people/deceased_person/place_of_burial,M-1,9,9,9,9,0.5,0.0,0.0
203,/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue,M-1,20,20,20,25,0.5107142840112958,0.23999999463558197,0.2
204,/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position,M-N,4,4,4,7,0.875,0.0,0.0
205,/location/administrative_division/first_level_division_of,M-1,0,0,0,0,,,
206,/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency,M-1,0,0,0,0,,,
207,/organization/organization/child./organization/organization_relationship/child,1-N,20,20,20,20,0.33214285543986727,0.5,0.3
208,/business/business_operation/assets./measurement_unit/dated_money_value/currency,M-1,0,0,0,0,,,
209,/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance,M-1,3,3,3,4,0.5952381065913609,0.25,0.25
210,/time/event/instance_of_recurring_event,M-1,11,11,11,18,0.8181818127632141,0.0,0.0
211,/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person,1-N,7,7,7,9,0.5816326652254377,0.3333333432674408,0.2222222222222222
212,/film/actor/film./film/performance/special_performance_type,M-1,16,16,16,17,0.53125,0.0,0.0
213,/business/business_operation/operating_income./measurement_unit/dated_money_value/currency,M-1,0,0,0,0,,,
214,/people/ethnicity/languages_spoken,M-N,29,29,29,47,0.6674876894269671,0.38297873735427856,0.14893617021276595
215,/base/americancomedy/celebrity_impressionist/celebrities_impersonated,1-N,8,8,8,5,0.3125,0.0,0.0
216,/medicine/symptom/symptom_of,M-N,31,31,31,51,0.7373271925108773,0.1764705926179886,0.09803921568627451
217,/education/university/fraternities_and_sororities,M-1,21,21,21,32,0.6394557782581874,0.25,0.15625
218,/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to,M-N,13,13,13,13,0.25274726109845297,0.7692307829856873,0.5384615384615384
219,/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency,M-1,4,4,4,4,0.5,0.0,0.0
220,/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation,M-N,20,20,20,40,1.0,0.0,0.0
221,/location/country/official_language,M-1,16,16,16,17,0.48660714285714285,0.1764705926179886,0.11764705882352941
222,/location/location/partially_contains,M-1,13,13,13,21,0.7637362735612052,0.1428571492433548,0.09523809523809523
223,/film/film/film_art_direction_by,M-1,3,3,3,6,0.9761904733521598,0.1666666716337204,0.16666666666666666
224,/people/person/spouse_s./people/marriage/location_of_ceremony,M-1,35,35,35,16,0.14489796438387462,0.625,0.375
225,/education/university/international_tuition./measurement_unit/dated_money_value/currency,M-1,0,0,0,0,,,
226,/organization/organization_founder/organizations_founded,1-1,9,9,9,10,0.3333333432674408,0.699999988079071,0.3
227,/film/film/dubbing_performances./film/dubbing_performance/actor,M-N,8,8,8,11,0.6339285714285714,0.1818181872367859,0.18181818181818182
228,/dataworld/gardening_hint/split_to,1-1,10,10,10,14,0.699999988079071,0.0,0.0
229,/medicine/disease/risk_factors,M-N,13,13,13,19,0.6043956194605146,0.31578946113586426,0.15789473684210525
230,/film/film/prequel,1-1,18,18,18,32,0.7817460383687701,0.25,0.1875
231,/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months,M-N,3,3,3,6,1.0,0.0,0.0
232,/film/actor/dubbing_performances./film/dubbing_performance/language,M-1,12,12,12,15,0.5833333219800677,0.13333334028720856,0.06666666666666667
233,/broadcast/content/artist,1-N,14,14,14,19,0.6479591727256775,0.05263157933950424,0.05263157894736842
