model,dataset,baseline,relation_id,relation_name,mapping_type,side,test_support,side_support,eligible_support,hits_r,alpha_r,delta_r
TransE,FB15k237,without,51,/tv/tv_program/languages,M-1,head,24,24,23,0.8690476162093026,0.21739129722118378,0.13043478260869565
TransE,FB15k237,without,52,/music/genre/parent_genre,M-N,head,97,97,55,0.4020618498325348,0.581818163394928,0.2909090909090909
TransE,FB15k237,without,53,/base/popstra/celebrity/breakup./base/popstra/breakup/participant,1-1,head,0,0,0,,,
TransE,FB15k237,without,54,/location/country/capital,1-1,head,11,11,4,0.23376624073301042,1.0,0.5
TransE,FB15k237,without,55,/film/special_film_performance_type/film_performance_type./film/performance/film,1-N,head,11,11,11,1.0,0.0,0.0
TransE,FB15k237,without,56,/location/hud_county_place/place,1-1,head,48,48,48,1.0,0.0,0.0
TransE,FB15k237,without,57,/music/performance_role/guest_performances./music/recording_contribution/performance_role,M-N,head,2,2,2,0.7142857142857143,0.5,0.5
TransE,FB15k237,without,58,/location/location/adjoin_s./location/adjoining_relationship/adjoins,M-N,head,55,55,46,0.742857141154153,0.28260868787765503,0.1956521739130435
TransE,FB15k237,without,59,/film/film_subject/films,1-N,head,77,77,55,0.584415580545153,0.4545454680919647,0.21818181818181817
TransE,FB15k237,without,60,/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,M-1,head,60,60,11,0.05238095431455544,1.0,0.7272727272727273
TransE,FB15k237,without,61,/education/educational_institution/colors,M-N,head,90,90,7,0.012698413138943059,1.0,0.42857142857142855
TransE,FB15k237,without,62,/base/aareas/schema/administrative_area/administrative_parent,M-1,head,25,25,22,0.874285706451961,0.04545454680919647,0.045454545454545456
TransE,FB15k237,without,63,/organization/role/leaders./organization/leadership/organization,1-N,head,70,70,70,1.0,0.0,0.0
TransE,FB15k237,without,64,/government/legislative_session/members./government/government_position_held/legislative_sessions,M-N,head,13,13,13,1.0,0.0,0.0
TransE,FB15k237,without,65,/olympics/olympic_games/sports,M-N,head,13,13,13,1.0,0.0,0.0
TransE,FB15k237,without,66,/people/person/places_lived./people/place_lived/location,M-N,head,305,305,19,0.024824355329786028,0.9473684430122375,0.47368421052631576
TransE,FB15k237,without,67,/award/award_category/disciplines_or_subjects,M-N,head,15,15,12,0.6190476332392011,0.5,0.3333333333333333
TransE,FB15k237,without,68,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,M-N,head,86,86,56,0.337209301335471,0.75,0.35714285714285715
TransE,FB15k237,without,69,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,M-N,head,63,63,44,0.6213152153151376,0.2954545319080353,0.1590909090909091
TransE,FB15k237,without,70,/language/human_language/countries_spoken_in,M-N,head,25,25,20,0.5714285714285714,0.5,0.3
TransE,FB15k237,without,71,/people/ethnicity/people,1-N,head,251,251,221,0.7717700685773577,0.27149322628974915,0.167420814479638
TransE,FB15k237,without,72,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,M-N,head,31,31,10,0.12903225421905518,0.8999999761581421,0.6
TransE,FB15k237,without,73,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,M-N,head,38,38,32,0.714285705770765,0.34375,0.1875
TransE,FB15k237,without,74,/film/film/other_crew./film/film_crew_gig/crewmember,M-1,head,26,26,5,0.07692307925650052,1.0,0.4
TransE,FB15k237,without,75,/music/performance_role/track_performances./music/track_contribution/role,M-N,head,53,53,26,0.30727762835366385,0.6538461446762085,0.34615384615384615
TransE,FB15k237,without,76,/music/record_label/artist,M-N,head,266,266,185,0.47422127212796894,0.637837827205658,0.2972972972972973
TransE,FB15k237,without,77,/base/popstra/celebrity/dated./base/popstra/dated/participant,M-N,head,11,11,0,0.0,,
TransE,FB15k237,without,78,/base/locations/continents/countries_within,1-N,head,5,5,5,1.0,0.0,0.0
TransE,FB15k237,without,79,/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,M-N,head,42,42,42,0.8435374072619847,0.380952388048172,0.19047619047619047
TransE,FB15k237,without,80,/sports/sports_team/sport,M-1,head,53,53,48,0.7142857142857143,0.4375,0.2708333333333333
TransE,FB15k237,without,81,/education/educational_institution_campus/educational_institution,1-1,head,13,13,13,1.0,0.0,0.0
TransE,FB15k237,without,82,/people/person/religion,M-1,head,127,127,12,0.03487064103995051,0.9166666865348816,0.3333333333333333
TransE,FB15k237,without,83,/organization/organization/headquarters./location/mailing_address/citytown,M-1,head,55,55,22,0.16623376735619136,0.9545454382896423,0.5909090909090909
TransE,FB15k237,without,84,/film/film/produced_by,M-1,head,60,60,20,0.24523810190813883,0.5,0.25
TransE,FB15k237,without,85,/people/person/spouse_s./people/marriage/type_of_union,M-1,head,346,346,11,0.0111478114766734,1.0,0.5454545454545454
TransE,FB15k237,without,86,/film/film/production_companies,M-1,head,84,84,35,0.2823129253728049,0.6571428775787354,0.4
TransE,FB15k237,without,87,/location/country/second_level_divisions,1-N,head,46,46,46,0.9875776427132743,0.021739130839705467,0.021739130434782608
TransE,FB15k237,without,88,/base/culturalevent/event/entity_involved,M-N,head,20,20,13,0.47142856887408663,0.5384615659713745,0.23076923076923078
TransE,FB15k237,without,89,/education/educational_degree/people_with_this_degree./education/education/institution,M-N,head,287,287,282,0.9576904007366726,0.060283686965703964,0.03546099290780142
TransE,FB15k237,without,90,/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,M-1,head,38,38,20,0.23684210862432206,0.8999999761581421,0.45
TransE,FB15k237,without,91,/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type,M-1,head,11,11,9,0.5584415708269391,0.6666666865348816,0.3333333333333333
TransE,FB15k237,without,92,/music/performance_role/regular_performances./music/group_membership/group,M-N,head,167,167,157,0.8511548297745841,0.20382165908813477,0.11464968152866242
TransE,FB15k237,without,93,/government/politician/government_positions_held./government/government_position_held/legislative_sessions,M-N,head,30,30,30,0.8857142669813973,0.1666666716337204,0.13333333333333333
TransE,FB15k237,without,94,/sports/sports_team_location/teams,1-1,head,53,53,13,0.05929919225828988,0.9230769276618958,0.3076923076923077
TransE,FB15k237,without,95,/sports/sports_team/colors,M-N,head,77,77,9,0.038961038791707585,1.0,0.5555555555555556
TransE,FB15k237,without,96,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft,M-N,head,43,43,43,1.0,0.0,0.0
TransE,FB15k237,without,97,/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,M-N,head,16,16,16,0.8839285714285714,0.1875,0.1875
TransE,FB15k237,without,98,/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season,M-N,head,27,27,27,0.9788359914507184,0.03703703731298447,0.037037037037037035
TransE,FB15k237,without,99,/user/alexander/philosophy/philosopher/interests,M-N,head,9,9,6,0.31746032408305574,0.8333333134651184,0.8333333333333334
TransE,FB15k237,without,100,/people/person/languages,M-1,head,98,98,27,0.1574344038963318,0.7777777910232544,0.3333333333333333
TransE,FB15k237,without,101,/education/educational_institution/students_graduates./education/education/major_field_of_study,M-N,head,321,321,131,0.18335558474063873,0.8778625726699829,0.4351145038167939
TransE,FB15k237,without,102,/film/director/film,1-N,head,19,19,9,0.34586465784481596,0.4444444477558136,0.3333333333333333
TransE,FB15k237,without,103,/award/award_ceremony/awards_presented./award/award_honor/honored_for,M-N,head,121,121,95,0.5879574928964887,0.5052631497383118,0.25263157894736843
TransE,FB15k237,without,104,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,M-N,head,8,8,8,0.875,0.25,0.25
TransE,FB15k237,without,105,/film/film/costume_design_by,M-1,head,13,13,4,0.15384615851300104,0.75,0.75
TransE,FB15k237,without,106,/film/film/featured_film_locations,M-1,head,100,100,13,0.03428571378546102,0.9230769276618958,0.6153846153846154
TransE,FB15k237,without,107,/tv/tv_program/genre,M-N,head,94,94,62,0.4756838934762137,0.5645161271095276,0.24193548387096775
TransE,FB15k237,without,108,/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,M-1,head,3,3,0,0.0,,
TransE,FB15k237,without,109,/film/film/written_by,M-1,head,26,26,6,0.08791209065488406,0.8333333134651184,0.6666666666666666
TransE,FB15k237,without,110,/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,M-1,head,22,22,8,0.1623376671757017,1.0,0.625
TransE,FB15k237,without,111,/location/hud_county_place/county,M-1,head,7,7,4,0.3673469509397234,0.5,0.5
TransE,FB15k237,without,112,/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,M-N,head,63,63,63,0.9637188230242048,0.0793650820851326,0.047619047619047616
TransE,FB15k237,without,113,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category,M-1,head,20,20,10,0.32142857568604605,0.6000000238418579,0.3
TransE,FB15k237,without,114,/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members,M-N,head,3,3,3,1.0,0.0,0.0
TransE,FB15k237,without,115,/film/film/film_format,M-1,head,39,39,7,0.051282052748969624,1.0,0.5714285714285714
TransE,FB15k237,without,116,/film/film/music,M-1,head,92,92,28,0.15372670761176518,0.7857142686843872,0.4642857142857143
TransE,FB15k237,without,117,/sports/sports_team/roster./american_football/football_roster_position/position,M-N,head,3,3,2,0.38095239230564665,0.5,0.5
TransE,FB15k237,without,118,/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,M-1,head,50,50,11,0.10571428388357162,0.8181818127632141,0.45454545454545453
TransE,FB15k237,without,119,/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,M-N,head,1,1,1,1.0,0.0,0.0
TransE,FB15k237,without,120,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,M-1,head,84,84,33,0.1343537446643625,0.9090909361839294,0.48484848484848486
TransE,FB15k237,without,121,/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club,M-N,head,29,29,26,0.44827585986682345,0.8846153616905212,0.46153846153846156
TransE,FB15k237,without,122,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,M-N,head,31,31,19,0.4746543679918562,0.5263158082962036,0.2631578947368421
TransE,FB15k237,without,123,/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant,M-N,head,1,1,0,0.0,,
TransE,FB15k237,without,124,/education/educational_institution/school_type,M-1,head,80,80,33,0.11071428656578064,1.0,0.5151515151515151
TransE,FB15k237,without,125,/sports/sport/pro_athletes./sports/pro_sports_played/athlete,1-N,head,17,17,16,0.9327731132507324,0.0625,0.0625
TransE,FB15k237,without,126,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,1-N,head,27,27,26,0.9365079317774091,0.03846153989434242,0.038461538461538464
TransE,FB15k237,without,127,/base/biblioness/bibs_location/state,M-1,head,7,7,3,0.20408164177622115,0.6666666865348816,0.6666666666666666
TransE,FB15k237,without,128,/education/university/local_tuition./measurement_unit/dated_money_value/currency,M-1,head,1,1,0,0.0,,
TransE,FB15k237,without,129,/business/business_operation/revenue./measurement_unit/dated_money_value/currency,M-1,head,1,1,0,0.0,,
TransE,FB15k237,without,130,/sports/sports_position/players./sports/sports_team_roster/team,M-N,head,22,22,22,1.0,0.0,0.0
TransE,FB15k237,without,131,/military/military_conflict/combatants./military/military_combatant_group/combatants,M-N,head,34,34,29,0.7142857142857143,0.4482758641242981,0.3103448275862069
TransE,FB15k237,without,132,/sports/sports_league/teams./sports/sports_league_participation/team,1-N,head,16,16,16,1.0,0.0,0.0
TransE,FB15k237,without,133,/base/biblioness/bibs_location/country,M-1,head,14,14,1,0.020408164177622114,1.0,1.0
TransE,FB15k237,without,134,/music/group_member/membership./music/group_membership/role,M-N,head,29,29,10,0.18226601289851324,0.800000011920929,0.5
TransE,FB15k237,without,135,/location/administrative_division/country,M-1,head,3,3,1,0.3333333432674408,0.0,0.0
TransE,FB15k237,without,136,/film/film/executive_produced_by,M-1,head,73,73,27,0.20743639767169952,0.8148148059844971,0.4074074074074074
TransE,FB15k237,without,137,/food/food/nutrients./food/nutrition_fact/nutrient,M-N,head,105,105,105,0.9931972793170384,0.02857142873108387,0.01904761904761905
TransE,FB15k237,without,138,/music/group_member/membership./music/group_membership/group,M-1,head,22,22,16,0.5974025981766837,0.375,0.1875
TransE,FB15k237,without,139,/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,M-1,head,3,3,1,0.3333333432674408,0.0,0.0
TransE,FB15k237,without,140,/education/field_of_study/students_majoring./education/education/student,1-N,head,34,34,26,0.49159663915634155,0.5769230723381042,0.34615384615384615
TransE,FB15k237,without,141,/award/award_winning_work/awards_won./award/award_honor/honored_for,M-N,head,10,10,9,0.8999999761581421,0.0,0.0
TransE,FB15k237,without,142,/sports/sports_team/roster./basketball/basketball_roster_position/position,M-N,head,2,2,0,0.0,,
TransE,FB15k237,without,143,/organization/organization/headquarters./location/mailing_address/state_province_region,M-1,head,39,39,7,0.095238097012043,0.7142857313156128,0.5714285714285714
TransE,FB15k237,without,144,/base/aareas/schema/administrative_area/capital,1-1,head,0,0,0,,,
TransE,FB15k237,without,145,/tv/tv_producer/programs_produced./tv/tv_producer_term/program,M-N,head,4,4,1,0.25,0.0,0.0
TransE,FB15k237,without,146,/education/educational_institution/campuses,1-1,head,13,13,13,1.0,0.0,0.0
TransE,FB15k237,without,147,/film/film/distributors./film/film_film_distributor_relationship/region,M-1,head,10,10,4,0.14285714711461747,1.0,0.75
TransE,FB15k237,without,148,/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month,M-N,head,60,60,60,0.9952380997794015,0.01666666753590107,0.016666666666666666
TransE,FB15k237,without,149,/medicine/disease/notable_people_with_this_condition,1-N,head,15,15,13,0.7809523940086365,0.3076923191547394,0.15384615384615385
TransE,FB15k237,without,150,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,M-N,head,38,38,30,0.6090225577354431,0.5,0.36666666666666664
TransE,FB15k237,without,151,/people/ethnicity/geographic_distribution,M-N,head,17,17,15,0.7899159789085388,0.13333334028720856,0.13333333333333333
TransE,FB15k237,without,152,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,M-N,head,17,17,15,0.831932783126831,0.20000000298023224,0.13333333333333333
TransE,FB15k237,without,153,/film/film/personal_appearances./film/personal_film_appearance/person,1-N,head,11,11,6,0.41558442796979633,0.3333333432674408,0.3333333333333333
TransE,FB15k237,without,154,/location/location/time_zones,M-1,head,137,137,58,0.23774765644754683,0.6896551847457886,0.3448275862068966
TransE,FB15k237,without,155,/film/film/story_by,M-1,head,31,31,13,0.35023040430886404,0.38461539149284363,0.23076923076923078
TransE,FB15k237,without,156,/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed,M-N,head,21,21,21,0.897959189755576,0.2857142984867096,0.2857142857142857
TransE,FB15k237,without,157,/olympics/olympic_games/participating_countries,M-N,head,23,23,23,1.0,0.0,0.0
TransE,FB15k237,without,158,/tv/tv_network/programs./tv/tv_network_duration/program,1-N,head,26,26,19,0.631868132523128,0.21052631735801697,0.10526315789473684
TransE,FB15k237,without,159,/people/person/employment_history./business/employment_tenure/company,M-1,head,24,24,13,0.27976190405232565,0.7692307829856873,0.5384615384615384
TransE,FB15k237,without,160,/music/artist/origin,M-1,head,34,34,6,0.07142857222684793,1.0,0.6666666666666666
TransE,FB15k237,without,161,/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,1-N,head,53,53,53,1.0,0.0,0.0
TransE,FB15k237,without,162,/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program,M-1,head,9,9,4,0.17460317696843827,1.0,0.75
TransE,FB15k237,without,163,/time/event/locations,M-N,head,34,34,22,0.40756303497723173,0.9090909361839294,0.5454545454545454
TransE,FB15k237,without,164,/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,1-1,head,0,0,0,,,
TransE,FB15k237,without,165,/government/political_party/politicians_in_this_party./government/political_party_tenure/politician,1-N,head,11,11,10,0.9090909361839294,0.0,0.0
TransE,FB15k237,without,166,/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,M-1,head,5,5,0,0.0,,
TransE,FB15k237,without,167,/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency,M-1,head,22,22,18,0.7987012948308673,0.1666666716337204,0.1111111111111111
TransE,FB15k237,without,168,/user/ktrueman/default_domain/international_organization/member_states,1-N,head,24,24,24,1.0,0.0,0.0
TransE,FB15k237,without,169,/american_football/football_team/current_roster./sports/sports_team_roster/position,M-N,head,0,0,0,,,
TransE,FB15k237,without,170,/soccer/football_player/current_team./sports/sports_team_roster/team,M-N,head,9,9,6,0.2539682611823082,0.8333333134651184,0.6666666666666666
TransE,FB15k237,without,171,/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal,M-N,head,16,16,16,1.0,0.0,0.0
TransE,FB15k237,without,172,/award/ranked_item/appears_in_ranked_lists./award/ranking/list,M-1,head,48,48,30,0.375,0.7666666507720947,0.36666666666666664
TransE,FB15k237,without,173,/film/film_set_designer/film_sets_designed,1-N,head,8,8,7,0.6428571428571429,0.5714285969734192,0.2857142857142857
TransE,FB15k237,without,174,/user/jg/default_domain/olympic_games/sports,M-N,head,11,11,11,0.9610389726502555,0.09090909361839294,0.09090909090909091
TransE,FB15k237,without,175,/people/person/sibling_s./people/sibling_relationship/sibling,1-1,head,7,7,3,0.2857142963579723,0.6666666865348816,0.3333333333333333
TransE,FB15k237,without,176,/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team,M-N,head,41,41,40,0.8850174120494297,0.20000000298023224,0.15
TransE,FB15k237,without,177,/music/artist/contribution./music/recording_contribution/performance_role,M-N,head,14,14,5,0.173469392316682,0.800000011920929,0.6
TransE,FB15k237,without,178,/sports/sports_position/players./sports/sports_team_roster/position,M-N,head,0,0,0,,,
TransE,FB15k237,without,179,/government/politician/government_positions_held./government/government_position_held/basic_title,M-N,head,16,16,10,0.41964285714285715,0.699999988079071,0.5
TransE,FB15k237,without,180,/sports/sports_position/players./american_football/football_historical_roster_position/position_s,M-N,head,0,0,0,,,
TransE,FB15k237,without,181,/people/profession/specialization_of,M-1,head,13,13,4,0.25274725896971567,0.5,0.25
TransE,FB15k237,without,182,/award/award_category/category_of,M-1,head,20,20,20,0.957142846924918,0.10000000149011612,0.1
TransE,FB15k237,without,183,/film/film/cinematography,M-1,head,17,17,5,0.15126050689390727,0.800000011920929,0.8
TransE,FB15k237,without,184,/film/film/film_production_design_by,M-1,head,10,10,3,0.30000001192092896,0.0,0.0
TransE,FB15k237,without,185,/tv/tv_program/country_of_origin,M-1,head,32,32,21,0.42857142857142855,0.6666666865348816,0.38095238095238093
TransE,FB15k237,without,186,/film/film/edited_by,M-1,head,13,13,3,0.15384615851300104,0.6666666865348816,0.6666666666666666
TransE,FB15k237,without,187,/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program,M-1,head,11,11,2,0.05194805349622454,1.0,1.0
TransE,FB15k237,without,188,/education/field_of_study/students_majoring./education/education/major_field_of_study,M-N,head,11,11,6,0.42857144134385244,0.6666666865348816,0.5
TransE,FB15k237,without,189,/education/educational_degree/people_with_this_degree./education/education/student,1-N,head,27,27,27,1.0,0.0,0.0
TransE,FB15k237,without,190,/location/us_county/county_seat,1-1,head,2,2,2,1.0,0.0,0.0
TransE,FB15k237,without,191,/film/film/film_festivals,M-1,head,18,18,7,0.09523809647985867,1.0,0.5714285714285714
TransE,FB15k237,without,192,/people/person/spouse_s./people/marriage/spouse,1-1,head,4,4,0,0.0,,
TransE,FB15k237,without,193,/film/film/runtime./film/film_cut/film_release_region,M-1,head,9,9,0,0.0,,
TransE,FB15k237,without,194,/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,1-1,head,0,0,0,,,
TransE,FB15k237,without,195,/base/aareas/schema/administrative_area/administrative_area_type,M-1,head,20,20,20,0.9785714234624591,0.05000000074505806,0.05
TransE,FB15k237,without,196,/influence/influence_node/peers./influence/peer_relationship/peers,1-1,head,2,2,0,0.0,,
TransE,FB15k237,without,197,/government/governmental_body/members./government/government_position_held/legislative_sessions,M-N,head,12,12,12,1.0,0.0,0.0
