relation_id,relation_name,mapping_type,train_support,test_support,head_support,tail_support,eligible_support,inverse_strength,best_inverse_partner_id,best_inverse_partner_name,best_inverse_score,best_inverse_overlap_count,hits_r,alpha_r,delta_r
30,/award/award_winning_work/awards_won./award/award_honor/award,M-N,3310,118,118,118,117,0.6697885196374622,7,/award/award_category/nominees./award/award_nomination/nominated_for,0.6697885196374622,2217,0.40920097061565947,0.3333333432674408,0.18803418803418803
31,/film/film/genre,M-N,7268,722,722,722,792,0.1779031370390754,2,/media_common/netflix_genre/titles,0.1779031370390754,1293,0.49129402211734224,0.19065657258033752,0.08585858585858586
32,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,M-N,2337,160,160,160,161,0.3080872913992298,86,/film/film/production_companies,0.3080872913992298,720,0.4352678528853825,0.26708075404167175,0.11801242236024845
33,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,M-1,373,46,46,46,61,0.0,0,/location/country/form_of_government,0.0,0,0.5729813575744629,0.2295081913471222,0.16393442622950818
34,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,M-1,1210,151,151,151,213,0.0,0,/location/country/form_of_government,0.0,0,0.6087984868458339,0.23004694283008575,0.10328638497652583
35,/government/legislative_session/members./government/government_position_held/district_represented,M-N,1070,117,117,117,232,0.0,0,/location/country/form_of_government,0.0,0,0.9859584740230015,0.0258620698004961,0.017241379310344827
36,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,M-N,622,1,1,1,1,0.8167202572347267,130,/sports/sports_position/players./sports/sports_team_roster/team,0.8167202572347267,508,0.5,0.0,0.0
37,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,M-N,760,91,91,91,136,0.0,0,/location/country/form_of_government,0.0,0,0.6703296729496547,0.16911764442920685,0.08823529411764706
38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,M-N,6277,132,132,132,116,0.3696033136848813,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,0.3696033136848813,2320,0.35335498622485567,0.38793104887008667,0.25862068965517243
39,/people/deceased_person/place_of_death,M-1,695,78,78,78,56,0.0,0,/location/country/form_of_government,0.0,0,0.3012820567403521,0.3392857015132904,0.17857142857142858
40,/sports/pro_athlete/teams./sports/sports_team_roster/team,M-N,676,16,16,16,20,0.0,0,/location/country/form_of_government,0.0,0,0.5,0.44999998807907104,0.25
41,/music/artist/track_contributions./music/track_contribution/role,M-N,1772,152,152,152,145,0.2742663656884876,42,/music/instrument/instrumentalists,0.2742663656884876,486,0.38439849444798063,0.35172414779663086,0.18620689655172415
42,/music/instrument/instrumentalists,M-N,1938,153,153,153,157,0.25077399380804954,41,/music/artist/track_contributions./music/track_contribution/role,0.25077399380804954,486,0.43697479367256165,0.2866241931915283,0.14012738853503184
43,/people/person/gender,M-1,3717,436,436,436,502,0.0,0,/location/country/form_of_government,0.0,0,0.5375163895743233,0.10756972432136536,0.043824701195219126
44,/business/job_title/people_with_this_title./business/employment_tenure/company,M-N,734,85,85,85,108,0.005449591280653951,36,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,0.005449591280653951,4,0.5420168127332415,0.25,0.12037037037037036
45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,M-N,1511,32,32,32,20,0.10787557908669755,8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0.10787557908669755,163,0.14955357142857142,0.8999999761581421,0.4
46,/business/business_operation/industry,M-1,330,41,41,41,60,0.0,0,/location/country/form_of_government,0.0,0,0.5993031433650425,0.30000001192092896,0.16666666666666666
47,/award/award_category/winners./award/award_honor/award_winner,M-N,5673,217,217,217,238,0.6842940243257536,19,/award/award_nominee/award_nominations./award/award_nomination/award,0.6842940243257536,3882,0.4588545092514583,0.32773110270500183,0.15126050420168066
48,/people/person/nationality,M-1,4197,494,494,494,582,0.0004765308553728854,122,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,0.0004765308553728854,2,0.5352805256843567,0.15807560086250305,0.07216494845360824
49,/sports/sports_team/roster./baseball/baseball_roster_position/position,M-N,183,3,3,3,6,0.8032786885245902,130,/sports/sports_position/players./sports/sports_team_roster/team,0.8032786885245902,147,1.0,0.0,0.0
50,/people/cause_of_death/people,1-N,737,94,94,94,68,0.0,0,/location/country/form_of_government,0.0,0,0.2636778099196298,0.5147058963775635,0.25
51,/tv/tv_program/languages,M-1,254,24,24,24,47,0.0,0,/location/country/form_of_government,0.0,0,0.961309518132891,0.042553190141916275,0.02127659574468085
52,/music/genre/parent_genre,M-N,678,97,97,97,125,0.0014749262536873156,20,/music/genre/artists,0.0014749262536873156,1,0.5648011650357928,0.2800000011920929,0.12
53,/base/popstra/celebrity/breakup./base/popstra/breakup/participant,1-1,153,0,0,0,0,0.7320261437908496,77,/base/popstra/celebrity/dated./base/popstra/dated/participant,0.7320261437908496,112,,,
54,/location/country/capital,1-1,142,11,11,11,9,0.4014084507042254,133,/base/biblioness/bibs_location/country,0.4014084507042254,57,0.24675325410706656,0.6666666865348816,0.3333333333333333
55,/film/special_film_performance_type/film_performance_type./film/performance/film,1-N,93,11,11,11,14,0.0,0,/location/country/form_of_government,0.0,0,0.6103895902633667,0.0714285746216774,0.07142857142857142
56,/location/hud_county_place/place,1-1,459,48,48,48,91,0.02832244008714597,111,/location/hud_county_place/county,0.02832244008714597,13,0.9211309552192688,0.05494505539536476,0.03296703296703297
57,/music/performance_role/guest_performances./music/recording_contribution/performance_role,M-N,497,2,2,2,4,0.5975855130784709,75,/music/performance_role/track_performances./music/track_contribution/role,0.5975855130784709,297,0.14285714285714285,1.0,1.0
58,/location/location/adjoin_s./location/adjoining_relationship/adjoins,M-N,2051,55,55,55,86,0.017064846416382253,152,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,0.017064846416382253,35,0.7051948053496224,0.23255814611911774,0.12790697674418605
59,/film/film_subject/films,1-N,603,77,77,77,61,0.02321724709784411,31,/film/film/genre,0.02321724709784411,14,0.32003710099628996,0.3442623019218445,0.13114754098360656
60,/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,M-1,475,60,60,60,73,0.0,0,/location/country/form_of_government,0.0,0,0.5452381031853812,0.13698630034923553,0.0821917808219178
61,/education/educational_institution/colors,M-N,856,90,90,90,91,0.0,0,/location/country/form_of_government,0.0,0,0.44603174499103,0.24175824224948883,0.16483516483516483
62,/base/aareas/schema/administrative_area/administrative_parent,M-1,579,25,25,25,42,0.6096718480138169,15,/location/location/contains,0.6096718480138169,353,0.8399999737739563,0.0,0.0
63,/organization/role/leaders./organization/leadership/organization,1-N,756,70,70,70,82,0.0,0,/location/country/form_of_government,0.0,0,0.5306122473308018,0.1463414579629898,0.06097560975609756
64,/government/legislative_session/members./government/government_position_held/legislative_sessions,M-N,814,13,13,13,26,0.0,0,/location/country/form_of_government,0.0,0,1.0,0.0,0.0
65,/olympics/olympic_games/sports,M-N,664,13,13,13,26,0.39457831325301207,104,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,0.39457831325301207,262,1.0,0.0,0.0
66,/people/person/places_lived./people/place_lived/location,M-N,3738,305,305,305,171,0.002140181915462814,122,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,0.002140181915462814,8,0.21405152337891714,0.4327485263347626,0.2046783625730994
67,/award/award_category/disciplines_or_subjects,M-N,204,15,15,15,27,0.0,0,/location/country/form_of_government,0.0,0,0.8285714217594692,0.14814814925193787,0.1111111111111111
68,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,M-N,688,86,86,86,75,0.0,0,/location/country/form_of_government,0.0,0,0.29900331582341877,0.6666666865348816,0.3333333333333333
69,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,M-N,1153,63,63,63,102,0.18300086730268864,157,/olympics/olympic_games/participating_countries,0.18300086730268864,211,0.742630388055529,0.1764705926179886,0.0784313725490196
70,/language/human_language/countries_spoken_in,M-N,335,25,25,25,34,0.39104477611940297,221,/location/country/official_language,0.39104477611940297,131,0.5371428685528892,0.47058823704719543,0.2647058823529412
71,/people/ethnicity/people,1-N,2063,251,251,251,252,0.0,0,/location/country/form_of_government,0.0,0,0.4493454822472164,0.1984127014875412,0.09523809523809523
72,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,M-N,760,31,31,31,44,0.24210526315789474,157,/olympics/olympic_games/participating_countries,0.24210526315789474,184,0.5691244346754891,0.3181818127632141,0.18181818181818182
73,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,M-N,256,38,38,38,70,0.0,0,/location/country/form_of_government,0.0,0,0.8928571343421936,0.08571428805589676,0.04285714285714286
74,/film/film/other_crew./film/film_crew_gig/crewmember,M-1,384,26,26,26,24,0.24479166666666666,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.24479166666666666,94,0.3763736230986459,0.2916666567325592,0.25
75,/music/performance_role/track_performances./music/track_contribution/role,M-N,3795,53,53,53,55,0.31277997364953886,9,/music/performance_role/regular_performances./music/group_membership/role,0.31277997364953886,1187,0.40970350589071003,0.4727272689342499,0.23636363636363636
76,/music/record_label/artist,M-N,2226,266,266,266,217,0.006289308176100629,159,/people/person/employment_history./business/employment_tenure/company,0.006289308176100629,14,0.3045112746102469,0.47926267981529236,0.2488479262672811
77,/base/popstra/celebrity/dated./base/popstra/dated/participant,M-N,1404,11,11,11,3,0.09686609686609686,164,/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,0.09686609686609686,136,0.06493506687028068,1.0,1.0
78,/base/locations/continents/countries_within,1-N,125,5,5,5,10,0.0,0,/location/country/form_of_government,0.0,0,0.8714285578046527,0.30000001192092896,0.3
79,/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,M-N,269,42,42,42,62,0.0,0,/location/country/form_of_government,0.0,0,0.6394557867731366,0.27419355511665344,0.1935483870967742
80,/sports/sports_team/sport,M-1,423,53,53,53,96,0.0,0,/location/country/form_of_government,0.0,0,0.8746630804879325,0.0833333358168602,0.07291666666666667
81,/education/educational_institution_campus/educational_institution,1-1,526,13,13,13,26,0.8079847908745247,146,/education/educational_institution/campuses,0.8079847908745247,425,1.0,0.0,0.0
82,/people/person/religion,M-1,1085,127,127,127,129,0.0,0,/location/country/form_of_government,0.0,0,0.4656917835984911,0.1550387591123581,0.08527131782945736
83,/organization/organization/headquarters./location/mailing_address/citytown,M-1,852,55,55,55,57,0.38028169014084506,15,/location/location/contains,0.38028169014084506,324,0.38701299258640837,0.4736842215061188,0.2807017543859649
84,/film/film/produced_by,M-1,1285,60,60,60,63,0.3867704280155642,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.3867704280155642,497,0.4440476213182722,0.2857142984867096,0.15873015873015872
85,/people/person/spouse_s./people/marriage/type_of_union,M-1,2909,346,346,346,360,0.0,0,/location/country/form_of_government,0.0,0,0.5099091700145176,0.03055555559694767,0.022222222222222223
86,/film/film/production_companies,M-1,1568,84,84,84,105,0.45918367346938777,32,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,0.45918367346938777,720,0.5501700639724731,0.22857142984867096,0.09523809523809523
87,/location/country/second_level_divisions,1-N,463,46,46,46,53,0.11663066954643629,135,/location/administrative_division/country,0.11663066954643629,54,0.5248447145734515,0.15094339847564697,0.09433962264150944
88,/base/culturalevent/event/entity_involved,M-N,276,20,20,20,15,0.0,0,/location/country/form_of_government,0.0,0,0.3499999940395355,0.4000000059604645,0.13333333333333333
89,/education/educational_degree/people_with_this_degree./education/education/institution,M-N,2257,287,287,287,387,0.00044306601683650863,124,/education/educational_institution/school_type,0.00044306601683650863,1,0.6306620240211487,0.14470283687114716,0.06976744186046512
90,/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,M-1,285,38,38,38,56,0.0,0,/location/country/form_of_government,0.0,0,0.6748120359012059,0.1964285671710968,0.16071428571428573
91,/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type,M-1,121,11,11,11,17,0.0,0,/location/country/form_of_government,0.0,0,0.7727272510528564,0.0,0.0
92,/music/performance_role/regular_performances./music/group_membership/group,M-N,1327,167,167,167,251,0.003014318010550113,41,/music/artist/track_contributions./music/track_contribution/role,0.003014318010550113,4,0.6792129959378924,0.19920319318771362,0.11553784860557768
93,/government/politician/government_positions_held./government/government_position_held/legislative_sessions,M-N,215,30,30,30,59,0.0,0,/location/country/form_of_government,0.0,0,0.9666666473661151,0.033898305147886276,0.01694915254237288
94,/sports/sports_team_location/teams,1-1,331,53,53,53,18,0.015105740181268883,83,/organization/organization/headquarters./location/mailing_address/citytown,0.015105740181268883,5,0.052560647683484216,0.9444444179534912,0.4444444444444444
95,/sports/sports_team/colors,M-N,689,77,77,77,81,0.0,0,/location/country/form_of_government,0.0,0,0.4777365412030901,0.16049382090568542,0.09876543209876543
96,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft,M-N,437,43,43,43,86,0.0,0,/location/country/form_of_government,0.0,0,1.0,0.0,0.0
97,/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,M-N,717,16,16,16,29,0.2580195258019526,141,/award/award_winning_work/awards_won./award/award_honor/honored_for,0.2580195258019526,185,0.8660714285714286,0.13793103396892548,0.13793103448275862
98,/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season,M-N,233,27,27,27,54,0.0,0,/location/country/form_of_government,0.0,0,0.9841269935880389,0.018518518656492233,0.018518518518518517
99,/user/alexander/philosophy/philosopher/interests,M-N,100,9,9,9,12,0.0,0,/location/country/form_of_government,0.0,0,0.6111111215182713,0.1666666716337204,0.16666666666666666
100,/people/person/languages,M-1,783,98,98,98,116,0.0038314176245210726,140,/education/field_of_study/students_majoring./education/education/student,0.0038314176245210726,3,0.5568513018744332,0.1034482792019844,0.05172413793103448
101,/education/educational_institution/students_graduates./education/education/major_field_of_study,M-N,2622,321,321,321,338,0.0,0,/location/country/form_of_government,0.0,0,0.42456608584948946,0.39349111914634705,0.1834319526627219
102,/film/director/film,1-N,859,19,19,19,15,0.3469150174621653,109,/film/film/written_by,0.3469150174621653,298,0.35714285714285715,0.2666666805744171,0.13333333333333333
103,/award/award_ceremony/awards_presented./award/award_honor/honored_for,M-N,909,121,121,121,122,0.0,0,/location/country/form_of_government,0.0,0,0.4102715424128941,0.3442623019218445,0.18032786885245902
104,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,M-N,381,8,8,8,14,0.6876640419947506,65,/olympics/olympic_games/sports,0.6876640419947506,262,0.8035714285714286,0.1428571492433548,0.14285714285714285
105,/film/film/costume_design_by,M-1,192,13,13,13,15,0.3541666666666667,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.3541666666666667,68,0.5164835282734462,0.20000000298023224,0.13333333333333333
106,/film/film/featured_film_locations,M-1,977,100,100,100,76,0.0030706243602865915,59,/film/film_subject/films,0.0030706243602865915,3,0.28785714507102966,0.3815789520740509,0.23684210526315788
107,/tv/tv_program/genre,M-N,1006,94,94,94,146,0.02982107355864811,2,/media_common/netflix_genre/titles,0.02982107355864811,30,0.6884498425892421,0.2397260218858719,0.1232876712328767
108,/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,M-1,456,3,3,3,3,0.0,0,/location/country/form_of_government,0.0,0,0.5,0.0,0.0
109,/film/film/written_by,M-1,787,26,26,26,13,0.49301143583227447,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.49301143583227447,388,0.19780220091342926,0.6153846383094788,0.38461538461538464
110,/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,M-1,225,22,22,22,29,0.0,0,/location/country/form_of_government,0.0,0,0.5876623221806118,0.17241379618644714,0.10344827586206896
111,/location/hud_county_place/county,M-1,305,7,7,7,8,0.7081967213114754,15,/location/location/contains,0.7081967213114754,216,0.4183673518044608,0.5,0.25
112,/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,M-N,494,63,63,63,113,0.0,0,/location/country/form_of_government,0.0,0,0.850340119429997,0.09734513610601425,0.07079646017699115
113,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category,M-1,142,20,20,20,28,0.007042253521126761,44,/business/job_title/people_with_this_title./business/employment_tenure/company,0.007042253521126761,1,0.6678571360451835,0.0714285746216774,0.03571428571428571
114,/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members,M-N,100,3,3,3,6,0.02,8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0.02,2,1.0,0.0,0.0
115,/film/film/film_format,M-1,345,39,39,39,47,0.0,0,/location/country/form_of_government,0.0,0,0.5586080636296954,0.1702127605676651,0.10638297872340426
116,/film/film/music,M-1,1039,92,92,92,82,0.30221366698748797,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.30221366698748797,314,0.3167701874460493,0.4878048896789551,0.23170731707317074
117,/sports/sports_team/roster./american_football/football_roster_position/position,M-N,607,3,3,3,4,0.8023064250411862,130,/sports/sports_position/players./sports/sports_team_roster/team,0.8023064250411862,487,0.6666666865348816,0.0,0.0
118,/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,M-1,411,50,50,50,60,0.0,0,/location/country/form_of_government,0.0,0,0.5400000129427228,0.1666666716337204,0.08333333333333333
119,/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,M-N,250,1,1,1,1,0.348,45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,0.348,87,0.5,0.0,0.0
120,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,M-1,788,84,84,84,113,0.0,0,/location/country/form_of_government,0.0,0,0.6054421663284302,0.1946902722120285,0.12389380530973451
121,/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club,M-N,246,29,29,29,29,0.0,0,/location/country/form_of_government,0.0,0,0.3620689639023372,0.6206896305084229,0.3793103448275862
122,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,M-N,349,31,31,31,27,0.022922636103151862,66,/people/person/places_lived./people/place_lived/location,0.022922636103151862,8,0.27880183713776724,0.5555555820465088,0.25925925925925924
123,/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant,M-N,449,1,1,1,0,0.24721603563474387,77,/base/popstra/celebrity/dated./base/popstra/dated/participant,0.24721603563474387,111,0.0,,
124,/education/educational_institution/school_type,M-1,728,80,80,80,102,0.0013736263736263737,89,/education/educational_degree/people_with_this_degree./education/education/institution,0.0013736263736263737,1,0.5767857091767448,0.19607843458652496,0.10784313725490197
125,/sports/sport/pro_athletes./sports/pro_sports_played/athlete,1-N,128,17,17,17,26,0.0,0,/location/country/form_of_government,0.0,0,0.7478991576603481,0.03846153989434242,0.038461538461538464
126,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,1-N,154,27,27,27,31,0.0,0,/location/country/form_of_government,0.0,0,0.5476190447807312,0.09677419066429138,0.06451612903225806
127,/base/biblioness/bibs_location/state,M-1,300,7,7,7,12,0.8166666666666667,15,/location/location/contains,0.8166666666666667,245,0.6734693901879447,0.3333333432674408,0.16666666666666666
128,/education/university/local_tuition./measurement_unit/dated_money_value/currency,M-1,360,1,1,1,1,0.0,0,/location/country/form_of_government,0.0,0,0.5,0.0,0.0
129,/business/business_operation/revenue./measurement_unit/dated_money_value/currency,M-1,215,1,1,1,1,0.0,0,/location/country/form_of_government,0.0,0,0.5,0.0,0.0
130,/sports/sports_position/players./sports/sports_team_roster/team,M-N,3500,22,22,22,31,0.5268571428571428,5,/soccer/football_team/current_roster./soccer/football_roster_position/position,0.5268571428571428,1844,0.6980519379888263,0.032258063554763794,0.03225806451612903
131,/military/military_conflict/combatants./military/military_combatant_group/combatants,M-N,424,34,34,34,50,0.0,0,/location/country/form_of_government,0.0,0,0.6239495703152248,0.3400000035762787,0.22
132,/sports/sports_league/teams./sports/sports_league_participation/team,1-N,161,16,16,16,29,0.0,0,/location/country/form_of_government,0.0,0,0.84375,0.17241379618644714,0.10344827586206896
133,/base/biblioness/bibs_location/country,M-1,610,14,14,14,16,0.7557377049180328,15,/location/location/contains,0.7557377049180328,461,0.5306122388158526,0.125,0.125
134,/music/group_member/membership./music/group_membership/role,M-N,750,29,29,29,32,0.3933333333333333,42,/music/instrument/instrumentalists,0.3933333333333333,295,0.4827586156981332,0.28125,0.25
135,/location/administrative_division/country,M-1,386,3,3,3,3,0.8290155440414507,15,/location/location/contains,0.8290155440414507,320,0.5,0.0,0.0
136,/film/film/executive_produced_by,M-1,662,73,73,73,78,0.1268882175226586,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.1268882175226586,84,0.455968690770013,0.28205129504203796,0.16666666666666666
137,/food/food/nutrients./food/nutrition_fact/nutrient,M-N,966,105,105,105,210,0.0,0,/location/country/form_of_government,0.0,0,0.9993197236742292,0.004761904943734407,0.004761904761904762
138,/music/group_member/membership./music/group_membership/group,M-1,218,22,22,22,37,0.01834862385321101,8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0.01834862385321101,4,0.733766223703112,0.2702702581882477,0.1891891891891892
139,/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,M-1,190,3,3,3,4,0.0,0,/location/country/form_of_government,0.0,0,0.6666666865348816,0.0,0.0
