relation_id,relation_name,mapping_type,train_support,self_loop_count,non_self_train_support,symmetric_supported_edge_count,symmetric_supported_non_self_edge_count,symmetry_score,symmetry_score_excluding_self_loops,test_support,head_support,tail_support,eligible_support,hits_r,alpha_r,delta_r
37,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,M-N,760,0,760,0,0,0.0,0.0,91,91,91,144,0.6318681495530265,0.3611111044883728,0.16666666666666666
38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,M-N,6277,0,6277,4,4,0.0006372470925601402,0.0006372470925601402,132,132,132,126,0.3582251114504678,0.460317462682724,0.2619047619047619
39,/people/deceased_person/place_of_death,M-1,695,0,695,0,0,0.0,0.0,78,78,78,60,0.3021978097302573,0.4000000059604645,0.2
40,/sports/pro_athlete/teams./sports/sports_team_roster/team,M-N,676,0,676,0,0,0.0,0.0,16,16,16,21,0.46875,0.4761904776096344,0.47619047619047616
41,/music/artist/track_contributions./music/track_contribution/role,M-N,1772,0,1772,0,0,0.0,0.0,152,152,152,161,0.3735902224268232,0.5776397585868835,0.2670807453416149
42,/music/instrument/instrumentalists,M-N,1938,0,1938,0,0,0.0,0.0,153,153,153,164,0.4267040193080902,0.396341472864151,0.16463414634146342
43,/people/person/gender,M-1,3717,0,3717,0,0,0.0,0.0,436,436,436,508,0.5296526891844613,0.13188976049423218,0.0610236220472441
44,/business/job_title/people_with_this_title./business/employment_tenure/company,M-N,734,0,734,0,0,0.0,0.0,85,85,85,115,0.540336149079459,0.313043475151062,0.17391304347826086
45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,M-N,1511,0,1511,1216,1216,0.8047650562541363,0.8047650562541363,32,32,32,14,0.10491071428571429,0.7142857313156128,0.5714285714285714
46,/business/business_operation/industry,M-1,330,0,330,0,0,0.0,0.0,41,41,41,58,0.5470383337565831,0.43103447556495667,0.1896551724137931
47,/award/award_category/winners./award/award_honor/award_winner,M-N,5673,0,5673,0,0,0.0,0.0,217,217,217,250,0.42001316802842276,0.5120000243186951,0.224
48,/people/person/nationality,M-1,4197,0,4197,0,0,0.0,0.0,494,494,494,557,0.5208212988717216,0.13285458087921143,0.06463195691202872
49,/sports/sports_team/roster./baseball/baseball_roster_position/position,M-N,183,0,183,0,0,0.0,0.0,3,3,3,6,1.0,0.0,0.0
50,/people/cause_of_death/people,1-N,737,0,737,0,0,0.0,0.0,94,94,94,75,0.2819148898124695,0.5199999809265137,0.24
51,/tv/tv_program/languages,M-1,254,0,254,0,0,0.0,0.0,24,24,24,47,0.9345238123621259,0.10638298094272614,0.06382978723404255
52,/music/genre/parent_genre,M-N,678,1,677,15,14,0.022123893805309734,0.0206794682422452,97,97,97,134,0.5508100049836295,0.44029849767684937,0.1865671641791045
53,/base/popstra/celebrity/breakup./base/popstra/breakup/participant,1-1,153,0,153,118,118,0.7712418300653595,0.7712418300653595,0,0,0,0,,,
54,/location/country/capital,1-1,142,3,139,3,0,0.02112676056338028,0.0,11,11,11,9,0.29220779878752573,0.7777777910232544,0.5555555555555556
55,/film/special_film_performance_type/film_performance_type./film/performance/film,1-N,93,0,93,0,0,0.0,0.0,11,11,11,14,0.6298701167106628,0.0714285746216774,0.07142857142857142
56,/location/hud_county_place/place,1-1,459,459,0,459,0,1.0,0.0,48,48,48,96,1.0,0.0,0.0
57,/music/performance_role/guest_performances./music/recording_contribution/performance_role,M-N,497,0,497,402,402,0.8088531187122736,0.8088531187122736,2,2,2,4,0.6785714285714286,0.5,0.25
58,/location/location/adjoin_s./location/adjoining_relationship/adjoins,M-N,2051,0,2051,1660,1660,0.8093612871769869,0.8093612871769869,55,55,55,93,0.7246753232819694,0.31182795763015747,0.21505376344086022
59,/film/film_subject/films,1-N,603,1,602,1,0,0.001658374792703151,0.0,77,77,77,70,0.329313542161669,0.5428571701049805,0.24285714285714285
60,/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,M-1,475,0,475,0,0,0.0,0.0,60,60,60,71,0.5261904767581395,0.15492957830429077,0.11267605633802817
61,/education/educational_institution/colors,M-N,856,0,856,0,0,0.0,0.0,90,90,90,92,0.4238095240933554,0.33695653080940247,0.1956521739130435
62,/base/aareas/schema/administrative_area/administrative_parent,M-1,579,0,579,0,0,0.0,0.0,25,25,25,46,0.8828571353639875,0.06521739065647125,0.043478260869565216
63,/organization/role/leaders./organization/leadership/organization,1-N,756,0,756,0,0,0.0,0.0,70,70,70,82,0.5255102089473179,0.1463414579629898,0.07317073170731707
64,/government/legislative_session/members./government/government_position_held/legislative_sessions,M-N,814,0,814,668,668,0.8206388206388207,0.8206388206388207,13,13,13,26,1.0,0.0,0.0
65,/olympics/olympic_games/sports,M-N,664,0,664,0,0,0.0,0.0,13,13,13,26,1.0,0.0,0.0
66,/people/person/places_lived./people/place_lived/location,M-N,3738,0,3738,0,0,0.0,0.0,305,305,305,173,0.1950819662639073,0.5491329431533813,0.2658959537572254
67,/award/award_category/disciplines_or_subjects,M-N,204,0,204,0,0,0.0,0.0,15,15,15,26,0.7523809501102993,0.26923078298568726,0.19230769230769232
68,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,M-N,688,0,688,0,0,0.0,0.0,86,86,86,98,0.27740863391331266,0.8061224222183228,0.3673469387755102
69,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,M-N,1153,0,1153,0,0,0.0,0.0,63,63,63,105,0.7721088358334133,0.21904762089252472,0.09523809523809523
70,/language/human_language/countries_spoken_in,M-N,335,0,335,0,0,0.0,0.0,25,25,25,34,0.4428571420056479,0.5882353186607361,0.29411764705882354
71,/people/ethnicity/people,1-N,2063,0,2063,0,0,0.0,0.0,251,251,251,257,0.41519635915756226,0.35797664523124695,0.20233463035019456
72,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,M-N,760,0,760,0,0,0.0,0.0,31,31,31,37,0.4539170392921993,0.37837839126586914,0.24324324324324326
73,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,M-N,256,0,256,0,0,0.0,0.0,38,38,38,70,0.8571428741727557,0.15714286267757416,0.08571428571428572
74,/film/film/other_crew./film/film_crew_gig/crewmember,M-1,384,0,384,0,0,0.0,0.0,26,26,26,28,0.3516483519758497,0.7142857313156128,0.35714285714285715
75,/music/performance_role/track_performances./music/track_contribution/role,M-N,3795,0,3795,3068,3068,0.8084321475625823,0.8084321475625823,53,53,53,51,0.33153638669422697,0.6078431606292725,0.3137254901960784
76,/music/record_label/artist,M-N,2226,0,2226,0,0,0.0,0.0,266,266,266,242,0.283297530242375,0.6983470916748047,0.32644628099173556
77,/base/popstra/celebrity/dated./base/popstra/dated/participant,M-N,1404,0,1404,1134,1134,0.8076923076923077,0.8076923076923077,11,11,11,0,0.0,,
78,/base/locations/continents/countries_within,1-N,125,0,125,0,0,0.0,0.0,5,5,5,9,0.714285705770765,0.3333333432674408,0.2222222222222222
79,/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,M-N,269,0,269,0,0,0.0,0.0,42,42,42,63,0.5714285714285714,0.5396825671195984,0.30158730158730157
80,/sports/sports_team/sport,M-1,423,0,423,0,0,0.0,0.0,53,53,53,101,0.8530997378485543,0.21782177686691284,0.12871287128712872
81,/education/educational_institution_campus/educational_institution,1-1,526,526,0,526,0,1.0,0.0,13,13,13,26,1.0,0.0,0.0
82,/people/person/religion,M-1,1085,0,1085,0,0,0.0,0.0,127,127,127,131,0.4583801967757089,0.221374049782753,0.09923664122137404
83,/organization/organization/headquarters./location/mailing_address/citytown,M-1,852,0,852,0,0,0.0,0.0,55,55,55,66,0.3428571437086378,0.7121211886405945,0.3333333333333333
84,/film/film/produced_by,M-1,1285,0,1285,0,0,0.0,0.0,60,60,60,58,0.37380952494485037,0.43103447556495667,0.25862068965517243
85,/people/person/spouse_s./people/marriage/type_of_union,M-1,2909,0,2909,0,0,0.0,0.0,346,346,346,357,0.5055739113262722,0.030812324956059456,0.01680672268907563
86,/film/film/production_companies,M-1,1568,0,1568,0,0,0.0,0.0,84,84,84,107,0.5119047548089709,0.4579439163208008,0.24299065420560748
87,/location/country/second_level_divisions,1-N,463,0,463,0,0,0.0,0.0,46,46,46,53,0.52173912525177,0.1320754736661911,0.09433962264150944
88,/base/culturalevent/event/entity_involved,M-N,276,0,276,0,0,0.0,0.0,20,20,20,18,0.32500000085149494,0.6111111044883728,0.2222222222222222
89,/education/educational_degree/people_with_this_degree./education/education/institution,M-N,2257,0,2257,0,0,0.0,0.0,287,287,287,411,0.5943255509649005,0.29927006363868713,0.13381995133819952
90,/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,M-1,285,0,285,0,0,0.0,0.0,38,38,38,58,0.6184210436684745,0.3103448152542114,0.15517241379310345
91,/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type,M-1,121,0,121,0,0,0.0,0.0,11,11,11,20,0.7792207768985203,0.30000001192092896,0.15
92,/music/performance_role/regular_performances./music/group_membership/group,M-N,1327,0,1327,0,0,0.0,0.0,167,167,167,272,0.6843455859592983,0.31985294818878174,0.16911764705882354
93,/government/politician/government_positions_held./government/government_position_held/legislative_sessions,M-N,215,0,215,0,0,0.0,0.0,30,30,30,59,0.8785714166504996,0.1525423675775528,0.11864406779661017
94,/sports/sports_team_location/teams,1-1,331,0,331,0,0,0.0,0.0,53,53,53,18,0.04312668527875628,0.9444444179534912,0.3888888888888889
95,/sports/sports_team/colors,M-N,689,0,689,0,0,0.0,0.0,77,77,77,85,0.48608533825193134,0.21176470816135406,0.09411764705882353
96,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft,M-N,437,0,437,0,0,0.0,0.0,43,43,43,86,1.0,0.0,0.0
97,/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,M-N,717,0,717,592,592,0.8256624825662483,0.8256624825662483,16,16,16,31,0.8839285714285714,0.12903225421905518,0.12903225806451613
98,/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season,M-N,233,0,233,0,0,0.0,0.0,27,27,27,54,0.9894179957253593,0.018518518656492233,0.018518518518518517
99,/user/alexander/philosophy/philosopher/interests,M-N,100,0,100,0,0,0.0,0.0,9,9,9,15,0.6587301662990025,0.3333333432674408,0.3333333333333333
100,/people/person/languages,M-1,783,0,783,0,0,0.0,0.0,98,98,98,124,0.5714285799435207,0.17741934955120087,0.07258064516129033
101,/education/educational_institution/students_graduates./education/education/major_field_of_study,M-N,2622,0,2622,0,0,0.0,0.0,321,321,321,374,0.3802848160266876,0.6550801992416382,0.32887700534759357
102,/film/director/film,1-N,859,0,859,0,0,0.0,0.0,19,19,19,17,0.3082706800528935,0.47058823704719543,0.35294117647058826
103,/award/award_ceremony/awards_presented./award/award_honor/honored_for,M-N,909,0,909,0,0,0.0,0.0,121,121,121,144,0.43506493738719393,0.5138888955116272,0.2222222222222222
104,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,M-N,381,0,381,0,0,0.0,0.0,8,8,8,15,0.8571428571428571,0.20000000298023224,0.13333333333333333
105,/film/film/costume_design_by,M-1,192,0,192,0,0,0.0,0.0,13,13,13,16,0.5109890145914895,0.25,0.25
106,/film/film/featured_film_locations,M-1,977,0,977,0,0,0.0,0.0,100,100,100,74,0.2585714203970773,0.4324324429035187,0.2702702702702703
107,/tv/tv_program/genre,M-N,1006,0,1006,0,0,0.0,0.0,94,94,94,150,0.6420972602707999,0.4000000059604645,0.18
108,/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,M-1,456,0,456,0,0,0.0,0.0,3,3,3,3,0.5,0.0,0.0
109,/film/film/written_by,M-1,787,0,787,0,0,0.0,0.0,26,26,26,21,0.20879121337618148,0.761904776096344,0.5238095238095238
110,/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,M-1,225,0,225,0,0,0.0,0.0,22,22,22,30,0.5811688303947449,0.2666666805744171,0.16666666666666666
111,/location/hud_county_place/county,M-1,305,18,287,18,0,0.05901639344262295,0.0,7,7,7,10,0.4081632707800184,0.6000000238418579,0.4
112,/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,M-N,494,0,494,0,0,0.0,0.0,63,63,63,117,0.8231292452130999,0.25641027092933655,0.15384615384615385
113,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category,M-1,142,0,142,0,0,0.0,0.0,20,20,20,30,0.6607142771993365,0.20000000298023224,0.1
114,/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members,M-N,100,0,100,88,88,0.88,0.88,3,3,3,6,1.0,0.0,0.0
115,/film/film/film_format,M-1,345,0,345,0,0,0.0,0.0,39,39,39,46,0.5256410496575492,0.15217390656471252,0.08695652173913043
116,/film/film/music,M-1,1039,0,1039,0,0,0.0,0.0,92,92,92,90,0.2989130403314318,0.6777777671813965,0.37777777777777777
117,/sports/sports_team/roster./american_football/football_roster_position/position,M-N,607,0,607,0,0,0.0,0.0,3,3,3,5,0.6904762046677726,0.20000000298023224,0.2
118,/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,M-1,411,0,411,0,0,0.0,0.0,50,50,50,61,0.552857152053288,0.14754098653793335,0.08196721311475409
119,/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,M-N,250,0,250,204,204,0.816,0.816,1,1,1,1,0.5,0.0,0.0
120,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,M-1,788,0,788,0,0,0.0,0.0,84,84,84,117,0.5671768699373517,0.25641027092933655,0.13675213675213677
121,/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club,M-N,246,0,246,0,0,0.0,0.0,29,29,29,36,0.30295565937246594,0.8888888955116272,0.4444444444444444
122,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,M-N,349,0,349,0,0,0.0,0.0,31,31,31,26,0.2649769548858915,0.6538461446762085,0.34615384615384615
123,/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant,M-N,449,0,449,368,368,0.8195991091314031,0.8195991091314031,1,1,1,0,0.0,,
124,/education/educational_institution/school_type,M-1,728,0,728,0,0,0.0,0.0,80,80,80,112,0.545535717691694,0.3214285671710968,0.16964285714285715
125,/sports/sport/pro_athletes./sports/pro_sports_played/athlete,1-N,128,0,128,0,0,0.0,0.0,17,17,17,26,0.7478991661752973,0.11538461595773697,0.07692307692307693
126,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,1-N,154,0,154,0,0,0.0,0.0,27,27,27,33,0.5476190447807312,0.1818181872367859,0.12121212121212122
127,/base/biblioness/bibs_location/state,M-1,300,0,300,0,0,0.0,0.0,7,7,7,10,0.5816326609679631,0.4000000059604645,0.3
128,/education/university/local_tuition./measurement_unit/dated_money_value/currency,M-1,360,0,360,0,0,0.0,0.0,1,1,1,1,0.5,0.0,0.0
129,/business/business_operation/revenue./measurement_unit/dated_money_value/currency,M-1,215,0,215,0,0,0.0,0.0,1,1,1,1,0.5,0.0,0.0
130,/sports/sports_position/players./sports/sports_team_roster/team,M-N,3500,0,3500,0,0,0.0,0.0,22,22,22,32,0.6915584376880101,0.125,0.09375
131,/military/military_conflict/combatants./military/military_combatant_group/combatants,M-N,424,0,424,0,0,0.0,0.0,34,34,34,54,0.5924369777951922,0.5925925970077515,0.2962962962962963
132,/sports/sports_league/teams./sports/sports_league_participation/team,1-N,161,0,161,0,0,0.0,0.0,16,16,16,26,0.71875,0.23076923191547394,0.15384615384615385
133,/base/biblioness/bibs_location/country,M-1,610,0,610,0,0,0.0,0.0,14,14,14,15,0.49489795735904146,0.20000000298023224,0.2
134,/music/group_member/membership./music/group_membership/role,M-N,750,0,750,0,0,0.0,0.0,29,29,29,35,0.45812807764325825,0.48571428656578064,0.2
135,/location/administrative_division/country,M-1,386,4,382,4,0,0.010362694300518135,0.0,3,3,3,4,0.6666666865348816,0.0,0.0
136,/film/film/executive_produced_by,M-1,662,0,662,0,0,0.0,0.0,73,73,73,79,0.397260274205889,0.49367088079452515,0.27848101265822783
137,/food/food/nutrients./food/nutrition_fact/nutrient,M-N,966,0,966,0,0,0.0,0.0,105,105,105,210,0.9925169859613691,0.02857142873108387,0.01904761904761905
138,/music/group_member/membership./music/group_membership/group,M-1,218,0,218,0,0,0.0,0.0,22,22,22,38,0.7272727404321943,0.31578946113586426,0.21052631578947367
139,/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,M-1,190,0,190,0,0,0.0,0.0,3,3,3,4,0.6666666865348816,0.0,0.0
140,/education/field_of_study/students_majoring./education/education/student,1-N,259,0,259,0,0,0.0,0.0,34,34,34,32,0.2773109291281019,0.65625,0.34375
141,/award/award_winning_work/awards_won./award/award_honor/honored_for,M-N,475,0,475,392,392,0.8252631578947368,0.8252631578947368,10,10,10,18,0.8999999761581421,0.0,0.0
142,/sports/sports_team/roster./basketball/basketball_roster_position/position,M-N,178,0,178,0,0,0.0,0.0,2,2,2,2,0.5,0.0,0.0
143,/organization/organization/headquarters./location/mailing_address/state_province_region,M-1,721,0,721,0,0,0.0,0.0,39,39,39,44,0.4285714328289032,0.4318181872367859,0.29545454545454547
144,/base/aareas/schema/administrative_area/capital,1-1,137,1,136,1,0,0.0072992700729927005,0.0,0,0,0,0,,,
145,/tv/tv_producer/programs_produced./tv/tv_producer_term/program,M-N,416,0,416,0,0,0.0,0.0,4,4,4,5,0.30357142857142855,0.800000011920929,0.6
146,/education/educational_institution/campuses,1-1,533,533,0,533,0,1.0,0.0,13,13,13,26,1.0,0.0,0.0
147,/film/film/distributors./film/film_film_distributor_relationship/region,M-1,157,0,157,0,0,0.0,0.0,10,10,10,14,0.5714285714285714,0.2857142984867096,0.21428571428571427
148,/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month,M-N,535,0,535,0,0,0.0,0.0,60,60,60,120,0.9976190498897007,0.008333333767950535,0.008333333333333333
149,/medicine/disease/notable_people_with_this_condition,1-N,121,0,121,0,0,0.0,0.0,15,15,15,15,0.4238095283508301,0.4000000059604645,0.2
150,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,M-N,345,0,345,0,0,0.0,0.0,38,38,38,59,0.6334586569241115,0.4067796468734741,0.2033898305084746
151,/people/ethnicity/geographic_distribution,M-N,122,0,122,0,0,0.0,0.0,17,17,17,27,0.6512605122157505,0.37037035822868347,0.2962962962962963
152,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,M-N,747,0,747,620,620,0.8299866131191432,0.8299866131191432,17,17,17,30,0.8151260444096157,0.2666666805744171,0.13333333333333333
153,/film/film/personal_appearances./film/personal_film_appearance/person,1-N,217,0,217,0,0,0.0,0.0,11,11,11,9,0.34415584802627563,0.2222222238779068,0.2222222222222222
154,/location/location/time_zones,M-1,1151,0,1151,0,0,0.0,0.0,137,137,137,195,0.6162669488361904,0.2153846174478531,0.10256410256410256
155,/film/film/story_by,M-1,394,0,394,0,0,0.0,0.0,31,31,31,32,0.4239631252629416,0.375,0.1875
156,/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed,M-N,192,0,192,0,0,0.0,0.0,21,21,21,42,0.9489795906203133,0.1428571492433548,0.14285714285714285
157,/olympics/olympic_games/participating_countries,M-N,490,0,490,0,0,0.0,0.0,23,23,23,34,0.6335403748920986,0.29411765933036804,0.20588235294117646
158,/tv/tv_network/programs./tv/tv_network_duration/program,1-N,305,0,305,0,0,0.0,0.0,26,26,26,29,0.4065933993884495,0.4482758641242981,0.27586206896551724
159,/people/person/employment_history./business/employment_tenure/company,M-1,316,0,316,0,0,0.0,0.0,24,24,24,28,0.3363095223903656,0.7142857313156128,0.42857142857142855
160,/music/artist/origin,M-1,552,0,552,0,0,0.0,0.0,34,34,34,23,0.23949580107416427,0.5652173757553101,0.2608695652173913
161,/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,1-N,417,0,417,0,0,0.0,0.0,53,53,53,58,0.5242587498256138,0.0517241396009922,0.034482758620689655
162,/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program,M-1,271,0,271,0,0,0.0,0.0,9,9,9,10,0.380952388048172,0.6000000238418579,0.4
163,/time/event/locations,M-N,363,0,363,0,0,0.0,0.0,34,34,34,39,0.3445378137486322,0.8717948794364929,0.46153846153846156
164,/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,1-1,236,0,236,190,190,0.8050847457627118,0.8050847457627118,0,0,0,0,,,
165,/government/political_party/politicians_in_this_party./government/political_party_tenure/politician,1-N,107,0,107,0,0,0.0,0.0,11,11,11,14,0.5259740310055869,0.2857142984867096,0.21428571428571427
166,/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,M-1,476,0,476,0,0,0.0,0.0,5,5,5,5,0.5,0.0,0.0
167,/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency,M-1,125,0,125,0,0,0.0,0.0,22,22,22,40,0.8993506687028068,0.07500000298023224,0.05
168,/user/ktrueman/default_domain/international_organization/member_states,1-N,179,0,179,0,0,0.0,0.0,24,24,24,44,0.7440476076943534,0.34090909361839294,0.1590909090909091
169,/american_football/football_team/current_roster./sports/sports_team_roster/position,M-N,573,0,573,0,0,0.0,0.0,0,0,0,0,,,
